Territory X Date,target
Afghanistan X 4/5/20,7
Afghanistan X 4/6/20,11
Afghanistan X 4/7/20,14
Afghanistan X 4/8/20,14
Afghanistan X 4/9/20,15
Afghanistan X 4/10/20,15
Afghanistan X 4/11/20,18
Albania X 4/5/20,20
Albania X 4/6/20,21
Albania X 4/7/20,22
Albania X 4/8/20,22
Albania X 4/9/20,23
Albania X 4/10/20,23
Albania X 4/11/20,23
Algeria X 4/5/20,152
Algeria X 4/6/20,173
Algeria X 4/7/20,193
Algeria X 4/8/20,205
Algeria X 4/9/20,235
Algeria X 4/10/20,256
Algeria X 4/11/20,275
Andorra X 4/5/20,18
Andorra X 4/6/20,21
Andorra X 4/7/20,22
Andorra X 4/8/20,23
Andorra X 4/9/20,25
Andorra X 4/10/20,26
Andorra X 4/11/20,26
Angola X 4/5/20,2
Angola X 4/6/20,2
Angola X 4/7/20,2
Angola X 4/8/20,2
Angola X 4/9/20,2
Angola X 4/10/20,2
Angola X 4/11/20,2
Antigua and Barbuda X 4/5/20,0
Antigua and Barbuda X 4/6/20,0
Antigua and Barbuda X 4/7/20,1
Antigua and Barbuda X 4/8/20,2
Antigua and Barbuda X 4/9/20,2
Antigua and Barbuda X 4/10/20,2
Antigua and Barbuda X 4/11/20,2
Argentina X 4/5/20,44
Argentina X 4/6/20,48
Argentina X 4/7/20,56
Argentina X 4/8/20,63
Argentina X 4/9/20,72
Argentina X 4/10/20,82
Argentina X 4/11/20,83
Armenia X 4/5/20,7
Armenia X 4/6/20,8
Armenia X 4/7/20,8
Armenia X 4/8/20,9
Armenia X 4/9/20,10
Armenia X 4/10/20,12
Armenia X 4/11/20,13
Aruba X 4/5/20,0
Aruba X 4/6/20,0
Aruba X 4/7/20,0
Aruba X 4/8/20,0
Aruba X 4/9/20,0
Aruba X 4/10/20,0
Aruba X 4/11/20,0
Australia X 4/5/20,35
Australia X 4/6/20,40
Australia X 4/7/20,45
Australia X 4/8/20,50
Australia X 4/9/20,51
Australia X 4/10/20,54
Australia X 4/11/20,57
Austria X 4/5/20,204
Austria X 4/6/20,220
Austria X 4/7/20,243
Austria X 4/8/20,273
Austria X 4/9/20,295
Austria X 4/10/20,319
Austria X 4/11/20,337
Azerbaijan X 4/5/20,7
Azerbaijan X 4/6/20,7
Azerbaijan X 4/7/20,8
Azerbaijan X 4/8/20,8
Azerbaijan X 4/9/20,9
Azerbaijan X 4/10/20,10
Azerbaijan X 4/11/20,11
Bahamas (the) X 4/5/20,4
Bahamas (the) X 4/6/20,5
Bahamas (the) X 4/7/20,6
Bahamas (the) X 4/8/20,7
Bahamas (the) X 4/9/20,8
Bahamas (the) X 4/10/20,8
Bahamas (the) X 4/11/20,8
Bahrain X 4/5/20,4
Bahrain X 4/6/20,4
Bahrain X 4/7/20,5
Bahrain X 4/8/20,5
Bahrain X 4/9/20,5
Bahrain X 4/10/20,6
Bahrain X 4/11/20,6
Bangladesh X 4/5/20,9
Bangladesh X 4/6/20,12
Bangladesh X 4/7/20,17
Bangladesh X 4/8/20,20
Bangladesh X 4/9/20,21
Bangladesh X 4/10/20,27
Bangladesh X 4/11/20,30
Barbados X 4/5/20,1
Barbados X 4/6/20,2
Barbados X 4/7/20,3
Barbados X 4/8/20,3
Barbados X 4/9/20,3
Barbados X 4/10/20,4
Barbados X 4/11/20,4
Belarus X 4/5/20,8
Belarus X 4/6/20,13
Belarus X 4/7/20,13
Belarus X 4/8/20,13
Belarus X 4/9/20,16
Belarus X 4/10/20,19
Belarus X 4/11/20,23
Belgium X 4/5/20,1447
Belgium X 4/6/20,1632
Belgium X 4/7/20,2035
Belgium X 4/8/20,2240
Belgium X 4/9/20,2523
Belgium X 4/10/20,3019
Belgium X 4/11/20,3346
Belize X 4/5/20,0
